trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.8, 'e': 8.8999644001424e-05}",25,10,26.96719271263638,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.8, 'e': 8.734387282732117e-05}",25,3,38.28007380461011,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.8, 'e': 8.573388203017832e-05}",25,16,16.462885017635774,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8, 'e': 8.416799932665601e-05}",20,16,6.9000765460584,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.8, 'e': 8.264462809917356e-05}",20,11,18.610565495838976,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.8, 'e': 8.116224332440549e-05}",20,14,12.397030721883684,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.8, 'e': 7.971938775510203e-05}",20,8,20.614448492265808,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.8, 'e': 7.831466833737959e-05}",25,19,10.314012294708855,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.8, 'e': 7.694675284702985e-05}",20,0,38.421258400448394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.8, 'e': 7.561436672967863e-05}",20,10,14.810861571206486,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.8, 'e': 7.431629013079666e-05}",20,14,10.959727341689598,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.8, 'e': 7.305135510263716e-05}",35,25,23.07504809551078,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.8, 'e': 7.181844297615628e-05}",30,14,27.904990544350802,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.8, 'e': 7.06164818868724e-05}",25,7,33.17409878486058,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.8, 'e': 6.944444444444444e-05}",30,17,24.686169209954436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
